OBS,LY,PI,LW,LI,LC,RATE
Mar-80,1.000761504,6.051759164,1.194112324,3.896584381,0.772759271,1.950272452
Jun-80,0.390259351,4.659845248,-0.738448139,5.438771824,0.473397215,5.189049298
Sep-80,0.072296652,1.399512617,-1.097058094,5.313133757,-0.085432907,4.741129435
Dec-80,0.501365817,-0.720305542,-1.280688979,4.791888449,-0.168428865,2.665904616
Mar-81,0.883762148,-1.562380535,-1.527937543,4.884397231,-1.024434552,1.174336678
Jun-81,0.505174223,1.170392811,-0.722485029,4.386248556,-1.365954595,-0.200112031
Sep-81,0.64314285,0.471415889,-0.964648831,3.104851754,-1.244491249,-0.030979807
Dec-81,0.44731517,-2.259305816,-0.323301649,2.420636813,-0.399521542,-0.37784654
Mar-82,-0.133416395,-0.958401868,-1.034800285,1.135669502,-0.69223145,-0.551539422
Jun-82,0.467894293,0.09341758,0.291357867,0.228135182,0.08787255,0.090683842
Sep-82,0.312690864,-3.584882337,1.257629312,-0.907474708,0.057026004,0.126510257
Dec-82,0.490849253,1.569773607,1.322451505,-2.48155543,1.422330644,-0.051663181
Mar-83,-0.775613155,-0.987293418,0.886289572,-5.313672847,0.551864381,-0.150685211
Jun-83,-1.069069162,0.492083226,0.355062472,-5.806642638,-0.104966573,-0.482672285
Sep-83,-0.451857277,-0.527261572,-0.379282539,-4.412156528,0.319186864,-0.097246673
Dec-83,-0.542280627,2.09018574,0.402481983,-4.308709312,0.769658207,-0.150962313
Mar-84,-0.926848273,0.203526224,0.538835323,-2.433846807,-0.121921087,-0.128679026
Jun-84,-0.124768292,0.491911991,0.731470044,-1.642221169,0.172903674,-0.340062284
Sep-84,-0.248251592,2.307124673,-0.616582614,-0.973981061,-0.530126949,0.095569533
Dec-84,-0.343530232,-0.899228949,-0.300007207,0.780002797,-0.82440249,0.291543917
Mar-85,-0.485981707,1.263103605,-0.571983101,-0.485668772,-1.266233248,0.446628628
Jun-85,0.149617865,-0.452685733,-0.494240054,1.6791803,-0.38268952,0.392875881
Sep-85,0.07616417,0.161499964,-0.00206054,3.956702871,-0.787191332,0.702592076
Dec-85,0.903700858,0.311918788,-0.530724501,3.897651839,0.2712601,1.851104738
Mar-86,-1.557832968,2.750250983,-0.113180054,0.076212332,-1.708261697,0.737635601
Jun-86,-0.79774972,-1.684728704,-1.494383907,-0.528081498,-0.990153506,-0.772583872
Sep-86,-0.928401238,-2.09281911,-0.940727727,-3.037728817,-0.396021802,-0.550483242
Dec-86,-0.737372632,-1.325184079,-0.973004805,-4.046968981,-0.5206947,-0.91167587
Mar-87,-1.925292332,-2.122823337,-0.579283897,-5.56553167,-0.749146555,-0.971064401
Jun-87,-2.109860749,-0.072727196,-0.837822218,-5.323418657,-1.475900568,-1.643348347
Sep-87,-1.401053345,-1.547722391,-1.205407988,-6.043843412,-0.755660166,-1.652953639
Dec-87,-0.239955872,-0.134558836,-0.232976375,-5.79833625,-0.264758966,-1.374845781
Mar-88,-0.388238874,-1.604489026,-0.41829969,-4.50527035,-0.683007021,-1.429690515
Jun-88,-0.52631254,-0.174010186,0.149379449,-1.991357887,-0.000356371,-1.623360973
Sep-88,0.479172477,0.337965906,0.617715453,-0.033905105,0.396498526,-1.231703393
Dec-88,0.452070995,-1.593281872,0.579077911,-0.767716262,0.299039473,-1.188616082
Mar-89,0.256881289,3.336706635,0.963963449,2.892110002,0.756738704,-1.244430865
Jun-89,-0.903585497,0.868959275,0.480278748,-0.703391819,-1.065636358,-0.873313348
Sep-89,0.358613002,1.401656463,0.119867608,3.641354975,0.363480628,-0.129918035
Dec-89,0.924368255,-1.504555052,0.695877337,4.972297209,1.762861498,0.65094639
Mar-90,-0.072586633,1.704031667,1.0322582,4.667177701,0.782104273,1.074699109
Jun-90,1.346670444,-0.903691662,1.066588239,5.589761498,1.874173699,1.621475798
Sep-90,1.706756286,1.338732036,0.787579846,7.068928806,1.509597319,1.950633777
Dec-90,2.25350913,1.57158445,1.803301115,9.583648097,0.929897441,2.436536944
Mar-91,2.088572495,0.475484624,0.298866168,10.73958752,0.170814885,2.657636718
Jun-91,2.121962053,0.566708183,0.825015263,10.1344473,0.825198952,2.692825014
Sep-91,1.828972981,2.954721152,1.018379615,9.337571646,0.605388135,2.03974606
Dec-91,1.964302618,-1.984162127,0.578354001,8.921682033,0.989890758,1.383671069
Mar-92,1.657390613,2.130326523,-0.061300205,6.576810297,1.18952541,0.650723075
Jun-92,0.868629915,-1.59747624,-0.914035122,4.727293902,0.501090151,-0.008919679
Sep-92,0.207658268,0.315906039,0.126338276,3.157521603,-0.098958219,-0.263888986
Dec-92,-0.021493876,-0.973633827,-0.508868777,0.665918154,-0.613521734,-0.320171064
Mar-93,-0.692485746,-0.891367602,-1.88344368,-1.975996111,-1.451531381,-0.584090533
Jun-93,-0.576291043,1.056565332,-1.399210658,-4.933767113,-1.061152558,-0.580585242
Sep-93,-0.739424816,0.162448781,-0.762648358,-6.612981422,-0.700614932,-0.431141316
Dec-93,-1.165785058,0.347089777,-1.304363221,-9.354636871,-0.204781682,-0.769138677
Mar-94,-1.841033928,-0.95807687,-1.736249629,-10.78381682,-0.728602989,-0.729864454
Jun-94,-1.480640091,-1.25658774,0.016536572,-9.741253062,-0.847799488,-0.622195066
Sep-94,-1.110851147,-1.085639998,-2.815143361,-10.16114476,-0.043418806,-0.348557428
Dec-94,-1.661995313,-0.152305934,-0.298946123,-10.08841893,-0.442890274,0.025967078
Mar-95,-3.371408062,-1.669714956,-0.296232892,-10.01489728,-2.309840272,0.208961588
Jun-95,-1.9107308,1.452030911,0.644940335,-5.639741417,-0.241108624,-0.406036991
Sep-95,-1.45965935,0.176571075,-1.424610035,-5.56651693,0.385694543,-0.77315902
Dec-95,-0.960396128,-3.00602538,-0.195910935,-3.410301149,0.541681126,-0.924857757
Mar-96,1.400235867,-0.627793689,0.086335434,-1.283334982,1.404833593,-0.748806562
Jun-96,1.520626845,-1.855565679,1.187630428,0.614952949,1.054712109,-0.578664098
Sep-96,1.525731984,-1.174821041,1.667019101,3.880579942,0.880838133,-0.440954356
Dec-96,2.790869075,3.032954425,2.399526913,6.59160037,1.971690614,-0.295172995
Mar-97,3.857293377,3.084636634,3.11823633,9.49328176,4.246682342,-0.167206742
Jun-97,1.529768647,-0.765937492,1.270029811,8.882272862,-0.816496651,-0.066091178
Sep-97,2.183335329,1.259354256,1.648918421,9.072988487,0.586716289,0.022575956
Dec-97,1.257896798,3.766664246,1.136130027,8.242103971,-0.634526027,0.086571558
Mar-98,-0.037860349,-1.010727657,0.561612246,5.103749224,-0.283820543,0.163658419
Jun-98,-0.491828986,-0.549350459,-0.577927879,2.020475025,-0.558211581,0.204878552
Sep-98,-1.95944904,2.138345507,-1.025557118,-2.478997036,-0.771401635,0.201171685
Dec-98,-2.731542663,0.89651736,-0.864567762,-8.473668932,-0.989097807,0.096682832
