OBS,LY,PI,LW,LI,LC,RATE,LLAB,LIIP,LCPI_HP,LWAGE,LINV,LCONS,prime_HP,LHOUR,LIIP,cpi_no_food,LWAGE,LINV,LCONS,RM,LHOUR,L_CONS1,L_CONS2,L_CONS3,L_CONS4,L_CONS5,L_IIP1,L_IIP2,L_IIP3,L_IIP4,L_IIP5,L_LAB1,L_LAB2,L_LAB7,L_RATE1,L_RATE2,L_RATE3,L_RATE4,L_RATE5,PI1,PI2,PI3,PI4,PI5,PI6,PI7,L_STOCK1,L_STOCK2,L_STOCK3,L_STOCK4,L_STOCK5,L_M1,L_M2,L_EX1,L_EX2
Mar-80,1.000761504,6.051759164,1.194112324,3.896584381,0.772759271,1.950272452,0.222437257,3.68077785,3.030807913,-1.664276748,-10.5248127,-2.33816794,0.960316058,0.570219192,3.657894466,2.340048264,-1.982169521,-10.10065072,-3.136505283,-1.240277464,0.597090494,10.21590071,0.766369185,1.048227641,0.863449671,-0.040134643,-0.297553009,1.251064431,1.619527619,6.467959754,-1.47911474,-0.636338751,-3.94131518,7.695153257,-0.947370094,-0.740639326,-0.889061242,-0.792766742,-0.885219448,10.23111115,12.36747318,7.560379186,-2.801486065,1.933262537,1.735528066,-0.159516411,7.905946489,4.535072251,7.772408735,7.763014474,1.005226808,-0.2193613,2.398585936,4.014869421,-4.958399698
Jun-80,0.390259351,4.659845248,-0.738448139,5.438771824,0.473397215,5.189049298,0.607887748,3.387314375,3.569683496,-1.465082241,-1.309024193,-1.643631104,1.182544445,0.536968576,3.360570903,7.308936678,-1.32851321,-1.351714941,-2.500013862,0.579037162,0.958118254,4.646057427,1.888937456,-0.728636475,0.318160526,-0.254240258,0.436253232,-0.24432224,-0.946666022,5.579596559,1.611575321,-0.647431053,-9.450949338,9.071078278,0.256343126,0.40717219,0.288841578,0.281179887,0.292427772,12.74011189,9.523758136,4.61409491,0.077680126,-2.302807137,1.643101332,6.115013522,6.876157436,3.392369513,4.914021983,1.840883393,1.897898789,0.666057458,4.790247735,-0.727105507,3.056303624
Sep-80,0.072296652,1.399512617,-1.097058094,5.313133757,-0.085432907,4.741129435,0.428646238,0.269416887,0.831617174,-0.760760485,2.091285027,0.341346906,0.654172635,0.02393355,0.230418529,-0.090828293,-0.268997828,3.344646158,-0.161150987,1.106126962,0.23418486,-1.214609844,1.526972614,-1.129406973,1.042688691,1.052957354,-0.256597614,-1.321984348,-1.874107306,0.924945254,0.722564788,-0.526355145,-4.419851179,6.468160963,0.655648452,0.079446605,0.367300062,0.014621996,0.370628255,-3.342361793,-2.704094539,1.614120114,-2.008390556,1.729224693,1.082426513,1.125822715,5.442656961,4.9261652,3.741659521,0.491303244,0.482342791,-0.25693364,-2.182204486,-6.485777178,6.227452842
Dec-80,0.501365817,-0.720305542,-1.280688979,4.791888449,-0.168428865,2.665904616,0.143809972,-0.17669386,-0.983060624,-0.218679881,4.33112257,0.282678109,-0.126138661,-0.141047105,-0.219905983,-0.323182228,-0.737258683,7.951422988,0.629381112,0.68340521,-0.426089179,-1.698965424,3.357933023,-0.363104791,0.149455765,0.932729555,-0.953195174,-0.729906196,-0.773108823,-0.169161153,1.287205971,-0.203555039,4.469514306,3.685466531,0.432977777,0.020392338,0.213689345,-0.015120675,0.179752494,-6.161831976,-6.842549641,-3.420384637,5.585722335,0.405934016,-1.106155004,-1.022023906,6.328592799,5.811607617,3.993623631,-1.786587014,-1.483706935,-0.75718759,-2.56408109,-11.05672792,9.698889378
Mar-81,0.883762148,-1.562380535,-1.527937543,4.884397231,-1.024434552,1.174336678,-0.284757292,-0.334484423,0.273736269,-0.288460958,6.70784922,-0.870083741,-0.660137588,-0.249705101,-0.230871624,-0.870434712,-0.564274252,2.871876909,-0.956745719,0.248593852,-0.261399364,-2.607372842,-2.43187582,-0.657653326,0.226945655,-1.02546403,2.103597367,0.785745735,-0.074788593,-0.934213787,2.146807418,0.060011442,1.270900227,0.694266669,0.154353211,-0.115831851,-0.172844995,-0.150737521,-0.170060658,-7.613242298,-8.3062629,-2.130503783,1.970026146,3.088722887,0.320335014,1.512722345,4.78951574,6.139589301,3.907972628,-6.89809554,-5.163173928,-1.01761951,-3.123685424,-13.69206921,10.90466199
Jun-81,0.505174223,1.170392811,-0.722485029,4.386248556,-1.365954595,-0.200112031,-0.096532263,-0.958167771,-0.678684308,0.667010859,3.937277485,-0.491572051,-0.449493455,-0.117600162,-1.008976764,-0.402221047,-0.506744631,3.312201422,0.423350162,-0.051012293,-0.118572322,-0.486708763,-4.229120616,-1.195140809,-0.029097291,-0.81309217,0.937159149,-0.560080519,-1.619558658,-1.376378754,1.10030974,0.486489041,2.0347612,0.492140641,-0.016473745,-0.232079942,-0.291290942,-0.28090849,-0.288784693,-4.820747275,-3.879321062,-5.698431511,-5.378962963,0.984530756,-0.376295075,0.279243967,6.600727246,5.744652196,9.42349061,-4.59398791,-3.771028054,0.176416193,0.302399256,-7.095834909,4.478909175
Sep-81,0.64314285,0.471415889,-0.964648831,3.104851754,-1.244491249,-0.030979807,-0.133937142,0.618771531,-0.533501459,0.579037447,3.718811885,-0.327892741,-0.245462985,-0.292526151,0.717109159,-0.015759731,1.62328942,2.59727775,0.092615,-0.11227378,-0.302452722,-0.64552213,-3.890865297,-1.199005475,-0.509856841,-0.996001419,1.0855484,0.64080952,0.664578283,-0.465039518,3.771210637,0.489478302,-2.321672883,4.649018112,-0.059848061,-0.104133524,-0.308528447,-0.123219317,-0.306286818,-2.423742913,-2.089254764,-7.280633085,-0.82337597,-2.562722901,-0.888315763,1.197322218,6.731871521,5.079750481,10.75369913,-0.538842549,-0.272058651,0.810696079,0.021859922,-1.996326313,1.200465758
Dec-81,0.44731517,-2.259305816,-0.323301649,2.420636813,-0.399521542,-0.37784654,0.647175759,1.549038769,-0.159284317,1.934072728,4.418405971,-0.280912644,-0.799021968,0.138404713,1.645767075,-0.025519198,1.545684472,4.493418811,-0.156047099,-0.042019279,0.199795485,-2.876682842,-1.926021808,-0.394643953,-0.532876412,-1.123822217,3.47501652,2.185242582,1.323080154,-0.300873572,4.232089716,0.49707074,-3.034494106,2.841658523,-0.006104411,0.148370866,0.042744593,0.23191983,0.047746253,-0.790449934,-1.387742821,-1.764442374,5.18873751,-0.359562528,0.076735392,1.476070205,1.10603921,-2.528879699,2.436618689,-2.557942176,0.049110453,1.207752242,1.839502628,-5.273258339,2.432665387
Mar-82,-0.133416395,-0.958401868,-1.034800285,1.135669502,-0.69223145,-0.551539422,-0.680344113,-0.159938806,-2.032742454,0.45909193,3.731453284,1.059446923,-0.610992779,-0.264894695,-0.0683761,-1.073564697,0.976527428,4.538206345,0.937778805,-0.299007291,-0.214096407,-0.657705422,1.20201833,-0.588198957,0.275875213,0.690867805,1.314712395,-0.055920143,-0.78608665,-1.729116622,3.61944792,0.548698639,-6.316152129,0.843220435,-0.148540065,-0.106138226,-0.037976888,-0.033824205,-0.036180766,-2.577493756,-1.865037738,-5.302632724,-8.906991504,-4.250740167,-0.881374843,-2.299887025,-1.725305023,-6.262326796,-0.51388783,-2.523742039,0.14448782,0.977887947,-0.753000544,-1.476525211,-1.241300982
Jun-82,0.467894293,0.09341758,0.291357867,0.228135182,0.08787255,0.090683842,-0.610565276,-2.05925639,-1.373033361,-0.095975522,2.68943622,1.61123286,-0.431698405,-0.470031199,-1.97294092,-1.216586197,-0.435003543,1.822770408,1.659620963,-0.372970052,-0.885431307,1.603589908,0.809012846,1.319829034,0.69744568,1.133018924,-1.716926546,0.043972644,1.669651416,-4.08643204,-1.128565478,0.76356955,-0.674738222,-4.600203435,-0.186448476,-0.214324986,-0.149224671,-0.147929526,-0.147593002,-2.002491109,-2.482003098,-0.859370734,7.960606344,-1.447927505,0.209404706,-3.716478878,-7.920198393,-11.92708105,-7.227948956,-3.758148227,-1.433994912,0.883606074,2.413283297,3.08279858,-5.250149481
