name,data_no,state_no,init_obs,type(gam),coef_gam,prior_psi_mean,prior_psi_var,prior_sig_nu,prior_sig_s,prior_gam_mean,prior_gam_var,hist_decomp
LY,1,1,1,1,1,0,1,3,0.05,1,0.01,1
PI,2,2,1,1,4,0,1,3,0.05,1,0.01,1
LW,3,3,1,1,1,0,1,3,0.05,1,0.01,1
LI,4,6,1,1,1,0,1,3,0.05,1,0.01,1
LC,5,7,1,1,1,0,1,3,0.05,1,0.01,1
RATE,6,8,1,1,4,0,1,60,0.01,1,0.01,1
LLAB,7,10,1,1,1,0,1,3,0.05,1,0.01,1
LIIP,8,1,0,2,1,0,1,3,0.05,2,0.1,0
LCPI_HP,9,2,0,2,4,0,1,3,0.05,2,0.1,0
LWAGE,10,3,0,2,1,0,1,3,0.05,1,0.1,0
LINV,11,6,0,2,1,0,1,3,0.05,1,0.1,0
LCONS,12,7,0,2,1,0,1,3,0.05,2,0.1,0
prime_HP,13,8,0,2,4,0,1,3,0.05,3,0.1,0
LHOUR,14,10,0,2,1,0,1,3,0.05,1,0.1,0
LIIP,15,1,0,2,1,0,1,3,0.05,2,0.1,0
cpi_no_food,16,2,0,2,4,0,1,3,0.05,2,0.1,0
LWAGE,17,3,0,2,1,0,1,3,0.05,1,0.1,0
LINV,18,6,0,2,1,0,1,3,0.05,1,0.1,0
LCONS,19,7,0,2,1,0,1,3,0.05,2,0.1,0
RM,20,8,0,2,4,0,1,3,0.05,2,0.1,0
LHOUR,21,10,0,3,1,0,1,3,0.05,1,0.1,0
L_CONS1,22,7,0,3,1,0,1,3,0.05,2,0.1,0
L_CONS2,23,7,0,3,1,0,1,3,0.05,2,0.1,0
L_CONS3,24,7,0,3,1,0,1,3,0.05,2,0.1,0
L_CONS4,25,7,0,3,1,0,1,3,0.05,2,0.1,0
L_CONS5,26,7,0,3,1,0,1,3,0.05,2,0.1,0
L_IIP1,27,1,0,3,1,0,1,3,0.05,2,0.1,0
L_IIP2,28,1,0,3,1,0,1,3,0.05,2,0.1,0
L_IIP3,29,1,0,3,1,0,1,3,0.05,2,0.1,0
L_IIP4,30,1,0,3,1,0,1,3,0.05,2,0.1,0
L_IIP5,31,1,0,3,1,0,1,3,0.05,2,0.1,0
L_LAB1,32,10,0,3,1,0,1,3,0.05,1,0.1,0
L_LAB2,33,10,0,3,1,0,1,3,0.05,1,0.1,0
L_LAB7,34,10,0,3,1,0,1,3,0.05,1,0.1,0
L_RATE1,35,8,0,3,4,0,1,3,0.05,2,0.1,0
L_RATE2,36,8,0,3,4,0,1,3,0.05,2,0.1,0
L_RATE3,37,8,0,3,4,0,1,3,0.05,2,0.1,0
L_RATE4,38,8,0,3,4,0,1,3,0.05,2,0.1,0
L_RATE5,39,8,0,3,4,0,1,3,0.05,2,0.1,0
PI1,40,2,0,3,4,0,1,3,0.05,3,0.1,0
PI2,41,2,0,3,4,0,1,3,0.05,3,0.1,0
PI3,42,2,0,3,4,0,1,3,0.05,3,0.1,0
PI4,43,2,0,3,4,0,1,3,0.05,3,0.1,0
PI5,44,2,0,3,4,0,1,3,0.05,3,0.1,0
PI6,45,2,0,3,4,0,1,3,0.05,3,0.1,0
PI7,46,2,0,3,4,0,1,3,0.05,3,0.1,1
L_STOCK1,47,8,0,3,1,0,1,3,0.05,3,0.1,1
L_STOCK2,48,8,0,3,1,0,1,3,0.05,3,0.1,1
L_STOCK3,49,8,0,3,1,0,1,3,0.05,3,0.1,1
L_STOCK4,50,8,0,3,1,0,1,3,0.05,3,0.1,1
L_STOCK5,51,8,0,3,1,0,1,3,0.05,3,0.1,1
L_M1,52,8,0,3,1,0,1,3,0.05,3,0.1,1
L_M2,53,8,0,3,1,0,1,3,0.05,3,0.1,1
L_EX1,54,8,0,3,1,0,1,3,0.05,3,0.1,1
L_EX2,55,8,0,3,1,0,1,3,0.05,3,0.1,1
